Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
1949823,1949823,,1,0,1,1,0,1,0,0,0,0,0.000038,0,52,0.000784,0,626,0,0.002219
zoezzzoe,zoezzzoe,,1,0,1,1,0,1,0,0,0,0,0.000929,0,53,0.000674,0,468,0,0.002219
125509006,125509006,,1,0,1,1,0,1,0,0,0,0,0.001068,0,33,0.000661,0,114,0,0.013018
strikeyang,strikeyang,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,316,0,0.006205
64996139,64996139,,1,0,1,1,0,1,0,0,0,0,0.000057,0,49,0.00083,0,539,0,0.002219
applefloral,applefloral,,1,0,1,1,0,1,0,0,0,0,0,0,49,0.001634,0,163,0,0.008134
xingxin6,xingxin6,,1,0,1,1,0,1,0,0,0,0,0.00019,0,26,0.000721,0,53,0,0.025273
sisonzhang,sisonzhang,,1,1,2,1,1,2,1,1,1,1,0.004561,0,50,0.00066,0,499,0,0.002219
57343152,57343152,,1,0,1,1,0,1,0,0,0,0,0,0,50,0.001207,0,498,0,0.004552
147958771,147958771,,0,1,1,0,1,1,1,1,1,0,0,0,51,0.000646,39,629,0,0
65374950,65374950,,1,0,1,1,0,1,0,0,0,0,0,0,51,0.001196,39,628,0,0.002219
thomasyang,thomasyang,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,315,0,0.006205
Luv__,Luv__,,2,0,2,2,0,2,0,0,0,0,0.08839,0,49,0.000672,0,206,0,0.049192
michaelwu,michaelwu,,2,2,4,2,2,4,7,0.335135,0.371377,554,0.001937,0.000221,49,0.00122,0,543,0,0.012411
125546785,125546785,,1,0,1,1,0,1,0,0,0,0,0.001068,0,33,0.000661,0,113,0,0.013018
zzzheng_0713,zzzheng_0713,,1,1,2,1,1,2,2,0.666667,0.75,0,0.000006,0,53,0.001442,0,603,0,0.006205
huyuansheng,huyuansheng,,2,1,3,2,1,3,1,1,1,13,0.000015,0,26,0.001502,0,45,0,0.014657
QueenGround,QueenGround,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0.000001,26,0.000646,0,630,0,0
153966583,153966583,,1,1,2,1,1,2,3,0.454545,0.533333,0,0,0,52,0.00284,0,360,0,0.022266
gavinleon,gavinleon,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,314,0,0.006205
lanxiaotuan,lanxiaotuan,,3,1,4,3,1,4,1,1,1,4,0.000974,0,53,0.001625,0,455,0.083333,0.013369
2826706,2826706,,1,0,1,1,0,1,0,0,0,0,0,0,53,0.002028,0,454,0,0.012133
forevermy,forevermy,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,313,0,0.006205
3383982,3383982,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,312,0,0.006205
Bye_nobody,Bye_nobody,,2,0,2,2,0,2,0,0,0,0,0.08839,0,49,0.000672,0,205,0,0.049192
4442133,4442133,,1,0,1,1,0,1,0,0,0,0,0.001875,0,35,0.000725,0,570,0,0.004552
eryila,eryila,,1,0,1,1,0,1,0,0,0,0,0.002186,0,15,0.000702,0,32,0,0.021144
coco112,coco112,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,311,0,0.006205
cloverjie,cloverjie,,4,0,4,4,0,4,0,0,0,0,0.010221,0,35,0.001557,0,112,0,0.066763
132120709,132120709,,1,0,1,1,0,1,0,0,0,0,0.000006,0,20,0.000686,0,407,0,0.002219
2278880,2278880,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,310,0,0.006205
xifengshoumei,xifengshoumei,,4,1,5,4,1,5,2,0.666667,0.75,26,0.003376,0,26,0.003598,0,10,0,0.04719
53918266,53918266,,0,1,1,0,1,1,1,1,1,0,0,0,54,0.000646,40,632,0,0
double1991,double1991,,1,0,1,1,0,1,0,0,0,0,0,0,54,0.001196,40,631,0,0.002219
1419591,1419591,,0,2,2,0,2,2,1,1,1,0,0,0,55,0.000646,41,635,0,0
zai_a,zai_a,,1,0,1,1,0,1,0,0,0,0,0,0,55,0.000921,41,634,0,0.002219
45478417,45478417,,2,0,2,2,0,2,0,0,0,0,0.001075,0,33,0.00121,0,111,0,0.015238
BUNDLEE,BUNDLEE,,0,1,1,0,1,1,1,1,1,0,0,0.000088,33,0.000646,0,636,0,0
39744248,39744248,,1,0,1,1,0,1,0,0,0,0,0.00289,0,52,0.000668,0,9,0,0.002219
133433152,133433152,,1,1,2,1,1,2,1,1,1,1,0,0,56,0.001196,42,638,0,0.002219
62869273,62869273,,1,0,1,1,0,1,0,0,0,0,0,0,56,0.001663,42,637,0,0.004552
wohouhou,wohouhou,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,309,0,0.006205
33970475,33970475,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,308,0,0.006205
3995557,3995557,,0,1,1,0,1,1,1,1,1,0,0,0,57,0.000646,43,640,0,0
128020172,128020172,,1,0,1,1,0,1,0,0,0,0,0,0,57,0.001196,43,639,0,0.002219
2225652,2225652,,1,1,2,1,1,2,1,1,1,2,0.081181,0,7,0.000651,0,243,0,0.006205
ophl,ophl,,1,0,1,1,0,1,0,0,0,0,0,0,7,0.001199,0,242,0,0.006205
42795407,42795407,,1,0,1,1,0,1,0,0,0,0,0.004561,0,50,0.00066,0,505,0,0.002219
87713286,87713286,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,307,0,0.006205
Amor-l,Amor-l,,1,0,1,1,0,1,0,0,0,0,0.007209,0,49,0.000668,0,204,0,0.042986
huasajun,huasajun,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,306,0,0.006205
1234555,1234555,,1,0,1,1,0,1,0,0,0,0,0.007209,0,49,0.000668,0,203,0,0.042986
71170695,71170695,,1,0,1,1,0,1,0,0,0,0,0.001068,0,33,0.000661,0,110,0,0.013018
94766000,94766000,,4,0,4,4,0,4,0,0,0,0,0.008332,0,49,0.001052,0,176,0.166667,0.081782
35579397,35579397,,1,0,1,1,0,1,0,0,0,0,0.001875,0,35,0.000725,0,569,0,0.004552
58142666,58142666,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,305,0,0.006205
dio007,dio007,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,304,0,0.006205
WOW444321,WOW444321,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,303,0,0.006205
hbgn,hbgn,,1,0,1,1,0,1,0,0,0,0,0.000056,0,33,0.00078,0,622,0,0.004552
jeft_bao,jeft_bao,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,302,0,0.006205
cestlavie,cestlavie,,1,0,1,1,0,1,0,0,0,0,0.007209,0,49,0.000668,0,202,0,0.042986
52341431,52341431,,1,1,2,1,1,2,1,1,1,3,0.00076,0,27,0.000677,0,335,0,0.006205
whitenight629,whitenight629,,1,0,1,1,0,1,0,0,0,0,0,0,27,0.001222,0,334,0,0.006205
53708555,53708555,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,301,0,0.006205
48317152,48317152,,1,0,1,1,0,1,0,0,0,0,0.007209,0,49,0.000668,0,201,0,0.042986
106189609,106189609,,3,0,3,3,0,3,0,0,0,0,0.089572,0,22,0.000782,0,200,0,0.051411
anitanine,anitanine,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,300,0,0.006205
CleanCoder,CleanCoder,,2,0,2,2,0,2,0,0,0,0,0,0,27,0.00129,0,182,0,0.024827
147186266,147186266,,2,1,3,2,1,3,2,0.6,0.666667,3,0,0,20,0.004525,0,386,0,0.023984
77837992,77837992,,0,1,1,0,1,1,3,0.444444,0.541667,0,0,0,20,0.000646,0,641,0,0
61858967,61858967,,1,0,1,1,0,1,0,0,0,0,0.004561,0,50,0.00066,0,504,0,0.002219
72001309,72001309,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,299,0,0.006205
81810971,81810971,,2,0,2,2,0,2,0,0,0,0,0.001088,0,33,0.001022,0,109,0,0.026516
